,RNASimSmallR06,RNASimSmallR09,RNASimSmallR01,RNASimSmallR10,RNASimSmallR03,RNASimSmallR07,RNASimSmallR05,RNASimSmallR02,RNASimSmallR04,RNASimSmallR08
1-SPFP,0.992270934716,0.993693624744,0.995642337851,0.995391211147,0.994026423107,0.996920285895,0.994254831414,0.991075247481,0.993824122612,0.992593469105
1-SPFN,0.992092204891,0.993491587379,0.995637964208,0.995402097711,0.994117917778,0.997003095271,0.994093151528,0.991162657377,0.993828489573,0.992597819227
SP-Score,0.992181569803,0.993592606062,0.995640151029,0.995396654429,0.994072170443,0.996961690583,0.994173991471,0.991118952429,0.993826306093,0.992595644166
TC,0.9106327462491846,0.9538361508452535,0.9478147423352903,0.937540663630449,0.918552036199095,0.9545159194282001,0.9425587467362925,0.9014267185473411,0.9281984334203656,0.9056603773584906
Modeler,0.9922709347159822,0.9936936247444321,0.9956423378506007,0.9953912111468382,0.9940264231071804,0.9969202858953903,0.9942548314142478,0.9910752474810944,0.9938241226123675,0.9925934691051246
Compression,1.0012919896640826,1.0006485084306096,1.000646830530401,1.0006476683937824,0.9993650793650793,0.9993544222078761,1.001948051948052,1.0006459948320414,1.0,1.0
Average Pairwise P-Distance,0.187016307673,0.177425099822,0.178354416811,0.177944127384,0.219580192963,0.198282222387,0.191723086779,0.197020947036,0.196498122551,0.205618072099
Maximum Pairwise P-Distance,0.325985303941,0.246234446627,0.23746701847,0.248184818482,0.364116094987,0.278763971072,0.249670619236,0.340199335548,0.251485148515,0.346103038309
Number of Sequences,25,25,25,25,25,25,25,25,25,25
Reference Length,1548,1542,1546,1544,1575,1549,1540,1548,1538,1546
Estimated Length,1550,1543,1547,1545,1574,1548,1543,1549,1538,1546
Maximum Ungapped Length,1531,1536,1528,1536,1534,1533,1531,1529,1528,1532
Sequence Length Heterogeneity,0.00230287513724,0.00154889409204,0.0014914896869,0.00184556153242,0.00197169547195,0.00131825608563,0.00199408675507,0.00209392506105,0.00196687607255,0.00157249749485
Gappiness Percentage,0.0151162790698,0.00715953307393,0.0141009055627,0.00917098445596,0.0298920634921,0.0118528082634,0.0104935064935,0.0172351421189,0.00920676202861,0.0114877102199
Average Gap Length,1.01386481802,1.07392996109,1.00368324125,1.00283286119,1.00856898029,1.00437636761,1.00748129676,1.04545454545,1.00283286119,1.04470588235
Median Gap Length,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
