File Name, Data Type, RAxML Model, Baliphy Model
5SrRNA001.fna,DNA,GTRGAMMAI,GTR
5SrRNA002.fna,DNA,GTRGAMMAI,GTR
5SrRNA003.fna,DNA,GTRGAMMAI,GTR
5SrRNA004.fna,DNA,GTRGAMMAI,GTR
5SrRNA005.fna,DNA,GTRGAMMAI,GTR
5SrRNA006.fna,DNA,GTRGAMMAI,GTR
5SrRNA007.fna,DNA,GTRGAMMAI,GTR
5SrRNA008.fna,DNA,GTRGAMMAI,GTR
5SrRNA009.fna,DNA,GTRGAMMAI,GTR
5SrRNA010.fna,DNA,GTRGAMMAI,GTR
5SrRNA011.fna,DNA,GTRGAMMAI,GTR
5SrRNA012.fna,DNA,GTRGAMMAI,GTR
5SrRNA013.fna,DNA,GTRGAMMAI,GTR
5SrRNA014.fna,DNA,GTRGAMMAI,GTR
5SrRNA015.fna,DNA,GTRGAMMAI,GTR
5SrRNA016.fna,DNA,GTRGAMMAI,GTR
5SrRNA017.fna,DNA,GTRGAMMAI,GTR
5SrRNA018.fna,DNA,GTRGAMMAI,GTR
5SrRNA019.fna,DNA,GTRGAMMAI,GTR
5SrRNA020.fna,DNA,GTRGAMMAI,GTR
5SrRNA021.fna,DNA,GTRGAMMAI,GTR
5SrRNA022.fna,DNA,GTRGAMMAI,GTR
5SrRNA023.fna,DNA,GTRGAMMAI,GTR
5SrRNA024.fna,DNA,GTRGAMMAI,GTR
5SrRNA025.fna,DNA,GTRGAMMAI,GTR
5SrRNA026.fna,DNA,GTRGAMMAI,GTR
5SrRNA027.fna,DNA,GTRGAMMAI,GTR
5SrRNA028.fna,DNA,GTRGAMMAI,GTR
5SrRNA029.fna,DNA,GTRGAMMAI,GTR
5SrRNA030.fna,DNA,GTRGAMMAI,GTR
5SrRNA031.fna,DNA,GTRGAMMAI,GTR
5SrRNA032.fna,DNA,GTRGAMMAI,GTR
5SrRNA033.fna,DNA,GTRGAMMAI,GTR
5SrRNA034.fna,DNA,GTRGAMMAI,GTR
5SrRNA035.fna,DNA,GTRGAMMAI,GTR
5SrRNA036.fna,DNA,GTRGAMMAI,GTR
5SrRNA037.fna,DNA,GTRGAMMAI,GTR
5SrRNA038.fna,DNA,GTRGAMMAI,GTR
5SrRNA039.fna,DNA,GTRGAMMAI,GTR
5SrRNA040.fna,DNA,GTRGAMMAI,GTR
5SrRNA041.fna,DNA,GTRGAMMAI,GTR
5SrRNA042.fna,DNA,GTRGAMMAI,GTR
5SrRNA043.fna,DNA,GTRGAMMAI,GTR
5SrRNA044.fna,DNA,GTRGAMMAI,GTR
5SrRNA045.fna,DNA,GTRGAMMAI,GTR
5SrRNA046.fna,DNA,GTRGAMMAI,GTR
5SrRNA047.fna,DNA,GTRGAMMAI,GTR
5SrRNA048.fna,DNA,GTRGAMMAI,GTR
5SrRNA049.fna,DNA,GTRGAMMAI,GTR
5SrRNA050.fna,DNA,GTRGAMMAI,GTR
5SrRNA051.fna,DNA,GTRGAMMAI,GTR
5SrRNA052.fna,DNA,GTRGAMMAI,GTR
5SrRNA053.fna,DNA,GTRGAMMAI,GTR
5SrRNA054.fna,DNA,GTRGAMMAI,GTR
5SrRNA055.fna,DNA,GTRGAMMAI,GTR
5SrRNA056.fna,DNA,GTRGAMMAI,GTR
5SrRNA057.fna,DNA,GTRGAMMAI,GTR
5SrRNA058.fna,DNA,GTRGAMMAI,GTR
5SrRNA059.fna,DNA,GTRGAMMAI,GTR
5SrRNA060.fna,DNA,GTRGAMMAI,GTR
5SrRNA061.fna,DNA,GTRGAMMAI,GTR
5SrRNA062.fna,DNA,GTRGAMMAI,GTR
