,RoseBigM1R04,RoseBigM1R10,RoseBigM1R07,RoseBigM1R08,RoseBigM1R01,RoseBigM1R09,RoseBigM1R06,RoseBigM1R02,RoseBigM1R05,RoseBigM1R03
1-SPFP,0.217840428856,0.0502745008912,0.021633497344,0.0272090817439,0.0526874481226,0.0810306027025,0.0563657773722,0.0619063862774,0.120290859824,0.268063200527
1-SPFN,0.205450606287,0.0470167132334,0.0202248518026,0.0252865221451,0.0489918746897,0.0757577146153,0.0533180202392,0.0574838597388,0.111265700562,0.255315519335
SP-Score,0.211645517572,0.0486456070623,0.0209291745733,0.0262478019445,0.0508396614062,0.0783941586589,0.0548418988057,0.0596951230081,0.115778280193,0.261689359931
TC,0.008409785932721712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Modeler,0.21784042885588434,0.05027450089117458,0.021633497344006266,0.027209081743943327,0.05268744812260894,0.08103060270247957,0.05636577737223058,0.06190638627740017,0.12029085982385265,0.26806320052721383
Compression,0.7793778801843319,0.7881489250131096,0.7520844913841023,0.8595988538681948,0.8007769145394007,0.909035409035409,0.7370430987452264,0.8293496386881601,0.8338209479227618,0.835369400814427
Average Pairwise P-Distance,0.689079389009,0.697498079023,0.708901797746,0.696056165755,0.694628165,0.695554734713,0.693652958529,0.689785559405,0.693448629067,0.694290436579
Maximum Pairwise P-Distance,0.750756811302,0.74873864783,0.764705882353,0.761133603239,0.765829145729,0.75,0.759146341463,0.745728643216,0.748484848485,0.758375634518
Number of Sequences,100,100,100,100,100,100,100,100,100,100
Reference Length,1736,1907,1799,1745,1802,1638,1833,1799,1709,1719
Estimated Length,1353,1503,1353,1500,1443,1489,1351,1492,1425,1436
Maximum Ungapped Length,1058,1049,1037,1060,1048,1045,1050,1037,1042,1057
Sequence Length Heterogeneity,0.0133370351286,0.0108500567786,0.0108027119851,0.0129664681651,0.0121265744929,0.0119937127628,0.0124218304724,0.00896109397459,0.0099835347603,0.010461595071
Gappiness Percentage,0.415483870968,0.468306240168,0.438160088938,0.418968481375,0.43667036626,0.385567765568,0.446775777414,0.438365758755,0.409836161498,0.414938917976
Average Gap Length,6.35937224475,7.29564578057,6.11378267277,6.27823100043,6.33813934756,5.61237003466,6.45648060549,5.36658727458,5.47880162703,6.82042455536
Median Gap Length,5.0,6.0,5.0,4.0,5.0,4.0,5.0,4.0,4.0,5.0
