,RoseBigM1R04,RoseBigM1R10,RoseBigM1R07,RoseBigM1R08,RoseBigM1R01,RoseBigM1R09,RoseBigM1R06,RoseBigM1R02,RoseBigM1R05,RoseBigM1R03
1-SPFP,0.227461771243,0.133981121496,0.0801483281438,0.14608818598,0.161500009249,0.151036188377,0.165005155492,0.169543211366,0.205577517557,0.170602679934
1-SPFN,0.224880374048,0.132216205232,0.0791772911163,0.145043401327,0.15954665581,0.148851786478,0.163336211153,0.167118549875,0.203296761498,0.168208687788
SP-Score,0.226171072645,0.133098663364,0.07966280963,0.145565793653,0.16052333253,0.149943987428,0.164170683323,0.16833088062,0.204437139528,0.169405683861
TC,7.645259938837921E-4,0.0,0.0,0.0015071590052750565,0.00321285140562249,0.0,7.968127490039841E-4,8.237232289950577E-4,0.0,0.0
Modeler,0.22746177124285638,0.13398112149621233,0.08014832814375122,0.1460881859795848,0.16150000924941985,0.15103618837744756,0.16500515549232125,0.16954321136552508,0.20557751755707013,0.1706026799342279
Compression,1.0311059907834101,0.9769271106449922,1.0372429127292941,1.0269340974212033,0.9955604883462819,1.1422466422466422,1.0343698854337153,1.0105614230127848,1.0362785254534816,1.0709714950552647
Average Pairwise P-Distance,0.689079389009,0.697498079023,0.708901797746,0.696056165755,0.694628165,0.695554734713,0.693652958529,0.689785559405,0.693448629067,0.694290436579
Maximum Pairwise P-Distance,0.750756811302,0.74873864783,0.764705882353,0.761133603239,0.765829145729,0.75,0.759146341463,0.745728643216,0.748484848485,0.758375634518
Number of Sequences,100,100,100,100,100,100,100,100,100,100
Reference Length,1736,1907,1799,1745,1802,1638,1833,1799,1709,1719
Estimated Length,1790,1863,1866,1792,1794,1871,1896,1818,1771,1841
Maximum Ungapped Length,1058,1049,1037,1060,1048,1045,1050,1037,1042,1057
Sequence Length Heterogeneity,0.0133370351286,0.0108500567786,0.0108027119851,0.0129664681651,0.0121265744929,0.0119937127628,0.0124218304724,0.00896109397459,0.0099835347603,0.010461595071
Gappiness Percentage,0.415483870968,0.468306240168,0.438160088938,0.418968481375,0.43667036626,0.385567765568,0.446775777414,0.438365758755,0.409836161498,0.414938917976
Average Gap Length,6.35937224475,7.29564578057,6.11378267277,6.27823100043,6.33813934756,5.61237003466,6.45648060549,5.36658727458,5.47880162703,6.82042455536
Median Gap Length,5.0,6.0,5.0,4.0,5.0,4.0,5.0,4.0,4.0,5.0
