,RoseBigM1R04,RoseBigM1R10,RoseBigM1R07,RoseBigM1R08,RoseBigM1R01,RoseBigM1R09,RoseBigM1R06,RoseBigM1R02,RoseBigM1R05,RoseBigM1R03
1-SPFP,0.692922324803,0.560624710919,0.145841768734,0.583191480792,0.686282005054,0.530266060915,0.39991815346,0.625972893257,0.585340751151,0.649575038017
1-SPFN,0.623466345637,0.472642316485,0.0992852646078,0.510618953068,0.617192194098,0.44919232299,0.316236560847,0.574171917828,0.492261858686,0.554015087531
SP-Score,0.65819433522,0.516633513702,0.122563516671,0.54690521693,0.651737099576,0.489729191953,0.358077357153,0.600072405543,0.538801304918,0.601795062774
TC,0.0022935779816513763,0.00778816199376947,0.0,0.0,0.0024096385542168677,0.0,0.0,0.0,0.010638297872340425,0.0
Modeler,0.6929223248026658,0.5606247109192328,0.1458417687343942,0.5831914807915244,0.6862820050535692,0.5302660609151042,0.3999181534596893,0.6259728932574918,0.5853407511509195,0.6495750380173736
Compression,1.1808755760368663,1.2663869952805453,1.6114508060033352,1.183381088825215,1.1182019977802442,1.3656898656898657,1.2951445717403165,0.9972206781545303,1.2363955529549444,1.2995927865037813
Average Pairwise P-Distance,0.689079389009,0.697498079023,0.708901797746,0.696056165755,0.694628165,0.695554734713,0.693652958529,0.689785559405,0.693448629067,0.694290436579
Maximum Pairwise P-Distance,0.750756811302,0.74873864783,0.764705882353,0.761133603239,0.765829145729,0.75,0.759146341463,0.745728643216,0.748484848485,0.758375634518
Number of Sequences,100,100,100,100,100,100,100,100,100,100
Reference Length,1736,1907,1799,1745,1802,1638,1833,1799,1709,1719
Estimated Length,2050,2415,2899,2065,2015,2237,2374,1794,2113,2234
Maximum Ungapped Length,1058,1049,1037,1060,1048,1045,1050,1037,1042,1057
Sequence Length Heterogeneity,0.0133370351286,0.0108500567786,0.0108027119851,0.0129664681651,0.0121265744929,0.0119937127628,0.0124218304724,0.00896109397459,0.0099835347603,0.010461595071
Gappiness Percentage,0.415483870968,0.468306240168,0.438160088938,0.418968481375,0.43667036626,0.385567765568,0.446775777414,0.438365758755,0.409836161498,0.414938917976
Average Gap Length,6.35937224475,7.29564578057,6.11378267277,6.27823100043,6.33813934756,5.61237003466,6.45648060549,5.36658727458,5.47880162703,6.82042455536
Median Gap Length,5.0,6.0,5.0,4.0,5.0,4.0,5.0,4.0,4.0,5.0
