,RoseBigM1R04,RoseBigM1R10,RoseBigM1R07,RoseBigM1R08,RoseBigM1R01,RoseBigM1R09,RoseBigM1R06,RoseBigM1R02,RoseBigM1R05,RoseBigM1R03
1-SPFP,0.18173775248,0.0912241402636,0.0657029476866,0.0965403999097,0.0968257997979,0.126899162721,0.140846034999,0.112912097862,0.13368540801,0.162049752928
1-SPFN,0.156661255378,0.0845390906782,0.0621512679151,0.0911984392646,0.0893713062733,0.117426137832,0.129336827422,0.101539877107,0.12474221134,0.148491726426
SP-Score,0.169199503929,0.0878816154709,0.0639271078009,0.0938694195872,0.0930985530356,0.122162650277,0.13509143121,0.107225987485,0.129213809675,0.155270739677
TC,7.645259938837921E-4,7.78816199376947E-4,0.0016420361247947454,0.007535795026375283,0.00321285140562249,8.382229673093043E-4,0.010358565737051793,0.0016474464579901153,0.010638297872340425,0.008936550491510277
Modeler,0.18173775247983334,0.09122414026360053,0.06570294768661435,0.09654039990970978,0.09682579979786984,0.12689916272104765,0.14084603499912787,0.11291209786220698,0.1336854080102483,0.162049752927789
Compression,1.3381336405529953,0.9743051914001049,0.9021678710394664,0.9679083094555874,1.1692563817980022,1.092185592185592,1.0343698854337153,1.1195108393551974,1.0269163253364542,1.1448516579406631
Average Pairwise P-Distance,0.689079389009,0.697498079023,0.708901797746,0.696056165755,0.694628165,0.695554734713,0.693652958529,0.689785559405,0.693448629067,0.694290436579
Maximum Pairwise P-Distance,0.750756811302,0.74873864783,0.764705882353,0.761133603239,0.765829145729,0.75,0.759146341463,0.745728643216,0.748484848485,0.758375634518
Number of Sequences,100,100,100,100,100,100,100,100,100,100
Reference Length,1736,1907,1799,1745,1802,1638,1833,1799,1709,1719
Estimated Length,2323,1858,1623,1689,2107,1789,1896,2014,1755,1968
Maximum Ungapped Length,1058,1049,1037,1060,1048,1045,1050,1037,1042,1057
Sequence Length Heterogeneity,0.0133370351286,0.0108500567786,0.0108027119851,0.0129664681651,0.0121265744929,0.0119937127628,0.0124218304724,0.00896109397459,0.0099835347603,0.010461595071
Gappiness Percentage,0.415483870968,0.468306240168,0.438160088938,0.418968481375,0.43667036626,0.385567765568,0.446775777414,0.438365758755,0.409836161498,0.414938917976
Average Gap Length,6.35937224475,7.29564578057,6.11378267277,6.27823100043,6.33813934756,5.61237003466,6.45648060549,5.36658727458,5.47880162703,6.82042455536
Median Gap Length,5.0,6.0,5.0,4.0,5.0,4.0,5.0,4.0,4.0,5.0
