,RoseSmallS1R04,RoseSmallS1R01,RoseSmallS1R06,RoseSmallS1R07,RoseSmallS1R08,RoseSmallS1R05,RoseSmallS1R10,RoseSmallS1R03,RoseSmallS1R09,RoseSmallS1R02
1-SPFP,0.059656487254,0.105174311927,0.100678566535,0.0624967771876,0.0536867393243,0.114835621173,0.0678251778837,0.0566362767486,0.0784437325617,0.0744222772615
1-SPFN,0.0353842436932,0.0672337059975,0.0666619619862,0.040749494834,0.0317795969138,0.0748304121875,0.0430010077304,0.0332891541137,0.0509044577445,0.0440264676329
SP-Score,0.0475203654736,0.086204008962,0.0836702642604,0.0516231360108,0.042733168119,0.0948330166802,0.0554130928071,0.0449627154311,0.0646740951531,0.0592243724472
TC,9.75609756097561E-4,0.00676328502415459,0.002952755905511811,0.0,0.0019286403085824494,0.003937007874015748,0.0,0.0,9.765625E-4,0.0
Modeler,0.05965648725404782,0.10517431192660551,0.1006785665345399,0.06249677718764503,0.053686739324272904,0.11483562117296274,0.06782517788374351,0.05663627674856492,0.07844373256174435,0.07442227726146924
Compression,3.3194321206743567,2.9025270758122743,2.675359712230216,2.9411764705882355,3.2739244951712028,2.77124773960217,3.116575591985428,3.360146252285192,2.791970802919708,3.138888888888889
Average Pairwise P-Distance,0.691409900916,0.689072400044,0.681463765468,0.691980376963,0.69908994381,0.690398464325,0.701618126912,0.695136187508,0.690795764477,0.689124496217
Maximum Pairwise P-Distance,0.741116751269,0.744744744745,0.740181268882,0.738647830474,0.74297188755,0.746208291203,0.741573033708,0.743434343434,0.731658291457,0.736040609137
Number of Sequences,25,25,25,25,25,25,25,25,25,25
Reference Length,1127,1108,1112,1105,1139,1106,1098,1094,1096,1116
Estimated Length,3741,3216,2975,3250,3729,3065,3422,3676,3060,3503
Maximum Ungapped Length,1017,1014,1012,1011,1012,1008,1006,1012,1018,1017
Sequence Length Heterogeneity,0.00527347693903,0.00474915468148,0.00526982890635,0.00535095374259,0.00475521555144,0.00375767609933,0.00490518246443,0.00465509681522,0.00546264757821,0.00658330794053
Gappiness Percentage,0.108535936114,0.0936462093863,0.0997482014388,0.094334841629,0.118770851624,0.0944665461121,0.092349726776,0.0859232175503,0.0851094890511,0.101684587814
Average Gap Length,2.31842304776,2.02973395931,2.12490421456,2.08313349321,2.24270557029,2.49236641221,1.84901531729,2.01371036847,2.13944954128,2.16070068545
Median Gap Length,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0
