,RoseSmallS1R04,RoseSmallS1R01,RoseSmallS1R06,RoseSmallS1R07,RoseSmallS1R08,RoseSmallS1R05,RoseSmallS1R10,RoseSmallS1R03,RoseSmallS1R09,RoseSmallS1R02
1-SPFP,0.886160078064,0.90608027287,0.930459283738,0.898264069773,0.861700910938,0.915941161839,0.87116002918,0.915538529324,0.906405840748,0.8907822976
1-SPFN,0.886763709087,0.906277648194,0.931059628465,0.898590242312,0.861182363719,0.915965793348,0.872285383851,0.915677119425,0.906211336317,0.890288368154
SP-Score,0.886461893576,0.906178960532,0.930759456101,0.898427156042,0.861441637328,0.915953477593,0.871722706515,0.915607824374,0.906308588533,0.890535332877
TC,0.28780487804878047,0.42028985507246375,0.48326771653543305,0.3801980198019802,0.2844744455159113,0.4251968503937008,0.2313803376365442,0.4027640671273445,0.453125,0.33527696793002915
Modeler,0.8861600780639601,0.9060802728701287,0.930459283737675,0.898264069773304,0.8617009109379835,0.9159411618385581,0.8711600291797255,0.915538529323723,0.9064058407477338,0.8907822975999139
Compression,0.9920141969831411,0.9990974729241877,0.9892086330935251,0.9918552036199095,1.0087796312554873,1.0045207956600362,0.9854280510018215,0.9972577696526508,1.0,1.0026881720430108
Average Pairwise P-Distance,0.691409900916,0.689072400044,0.681463765468,0.691980376963,0.69908994381,0.690398464325,0.701618126912,0.695136187508,0.690795764477,0.689124496217
Maximum Pairwise P-Distance,0.741116751269,0.744744744745,0.740181268882,0.738647830474,0.74297188755,0.746208291203,0.741573033708,0.743434343434,0.731658291457,0.736040609137
Number of Sequences,25,25,25,25,25,25,25,25,25,25
Reference Length,1127,1108,1112,1105,1139,1106,1098,1094,1096,1116
Estimated Length,1118,1107,1100,1096,1149,1111,1082,1091,1096,1119
Maximum Ungapped Length,1017,1014,1012,1011,1012,1008,1006,1012,1018,1017
Sequence Length Heterogeneity,0.00527347693903,0.00474915468148,0.00526982890635,0.00535095374259,0.00475521555144,0.00375767609933,0.00490518246443,0.00465509681522,0.00546264757821,0.00658330794053
Gappiness Percentage,0.108535936114,0.0936462093863,0.0997482014388,0.094334841629,0.118770851624,0.0944665461121,0.092349726776,0.0859232175503,0.0851094890511,0.101684587814
Average Gap Length,2.31842304776,2.02973395931,2.12490421456,2.08313349321,2.24270557029,2.49236641221,1.84901531729,2.01371036847,2.13944954128,2.16070068545
Median Gap Length,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0
