,RoseSmallS1R04,RoseSmallS1R01,RoseSmallS1R06,RoseSmallS1R07,RoseSmallS1R08,RoseSmallS1R05,RoseSmallS1R10,RoseSmallS1R03,RoseSmallS1R09,RoseSmallS1R02
1-SPFP,0.05915071643,0.136057212457,0.212679234583,0.0564117851642,0.0506005486165,0.155931091457,0.073829445223,0.053249771291,0.117967920368,0.104375274083
1-SPFN,0.0372901944204,0.107814552669,0.181483049708,0.0381740729658,0.0319376040073,0.129434662472,0.0484589840183,0.034069578907,0.0927458968298,0.0767850361762
SP-Score,0.0482204554252,0.121935882563,0.197081142146,0.047292929065,0.0412690763119,0.142682876964,0.0611442146207,0.043659675099,0.105356908599,0.0905801551295
TC,0.0,0.008695652173913044,0.004921259842519685,0.0,0.0019286403085824494,0.00984251968503937,9.930486593843098E-4,0.0,0.001953125,9.718172983479105E-4
Modeler,0.059150716429985734,0.13605721245749666,0.2126792345831676,0.056411785164207286,0.05060054861647447,0.1559310914568957,0.07382944522298245,0.053249771290970464,0.11796792036813532,0.10437527408273645
Compression,3.0967169476486247,2.229241877256318,1.8372302158273381,2.810859728506787,3.0377524143985952,1.7857142857142858,2.888888888888889,3.136197440585009,2.096715328467153,2.3736559139784945
Average Pairwise P-Distance,0.691409900916,0.689072400044,0.681463765468,0.691980376963,0.69908994381,0.690398464325,0.701618126912,0.695136187508,0.690795764477,0.689124496217
Maximum Pairwise P-Distance,0.741116751269,0.744744744745,0.740181268882,0.738647830474,0.74297188755,0.746208291203,0.741573033708,0.743434343434,0.731658291457,0.736040609137
Number of Sequences,25,25,25,25,25,25,25,25,25,25
Reference Length,1127,1108,1112,1105,1139,1106,1098,1094,1096,1116
Estimated Length,3490,2470,2043,3106,3460,1975,3172,3431,2298,2649
Maximum Ungapped Length,1017,1014,1012,1011,1012,1008,1006,1012,1018,1017
Sequence Length Heterogeneity,0.00527347693903,0.00474915468148,0.00526982890635,0.00535095374259,0.00475521555144,0.00375767609933,0.00490518246443,0.00465509681522,0.00546264757821,0.00658330794053
Gappiness Percentage,0.108535936114,0.0936462093863,0.0997482014388,0.094334841629,0.118770851624,0.0944665461121,0.092349726776,0.0859232175503,0.0851094890511,0.101684587814
Average Gap Length,2.31842304776,2.02973395931,2.12490421456,2.08313349321,2.24270557029,2.49236641221,1.84901531729,2.01371036847,2.13944954128,2.16070068545
Median Gap Length,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0
