,RoseSmallS1R04,RoseSmallS1R01,RoseSmallS1R06,RoseSmallS1R07,RoseSmallS1R08,RoseSmallS1R05,RoseSmallS1R10,RoseSmallS1R03,RoseSmallS1R09,RoseSmallS1R02
1-SPFP,0.058606106836,0.099694167372,0.0968980724444,0.0656174120118,0.0475757983495,0.116014234875,0.0649964341516,0.0551959787643,0.0806224692018,0.0661680527055
1-SPFN,0.035062111176,0.0643448886029,0.0657143049171,0.0424305796044,0.0285286850112,0.0767094922114,0.0403734689599,0.0328753944173,0.0536069338966,0.0411767275709
SP-Score,0.046834109006,0.0820195279874,0.0813061886807,0.0540239958081,0.0380522416803,0.0963618635434,0.0526849515557,0.0440356865908,0.0671147015492,0.0536723901382
TC,9.75609756097561E-4,0.004830917874396135,0.002952755905511811,0.0,0.0,0.002952755905511811,9.930486593843098E-4,0.0,0.001953125,0.0
Modeler,0.05860610683597694,0.09969416737196829,0.09689807244437837,0.065617412011834,0.047575798349479725,0.11601423487544484,0.06499643415157305,0.0551959787642607,0.08062246920179318,0.06616805270547575
Compression,3.3078970718722274,2.8637184115523464,2.656474820143885,2.967420814479638,3.2879719051799823,2.8399638336347195,3.085610200364299,3.3976234003656307,2.8366788321167884,2.978494623655914
Average Pairwise P-Distance,0.691409900916,0.689072400044,0.681463765468,0.691980376963,0.69908994381,0.690398464325,0.701618126912,0.695136187508,0.690795764477,0.689124496217
Maximum Pairwise P-Distance,0.741116751269,0.744744744745,0.740181268882,0.738647830474,0.74297188755,0.746208291203,0.741573033708,0.743434343434,0.731658291457,0.736040609137
Number of Sequences,25,25,25,25,25,25,25,25,25,25
Reference Length,1127,1108,1112,1105,1139,1106,1098,1094,1096,1116
Estimated Length,3728,3173,2954,3279,3745,3141,3388,3717,3109,3324
Maximum Ungapped Length,1017,1014,1012,1011,1012,1008,1006,1012,1018,1017
Sequence Length Heterogeneity,0.00527347693903,0.00474915468148,0.00526982890635,0.00535095374259,0.00475521555144,0.00375767609933,0.00490518246443,0.00465509681522,0.00546264757821,0.00658330794053
Gappiness Percentage,0.108535936114,0.0936462093863,0.0997482014388,0.094334841629,0.118770851624,0.0944665461121,0.092349726776,0.0859232175503,0.0851094890511,0.101684587814
Average Gap Length,2.31842304776,2.02973395931,2.12490421456,2.08313349321,2.24270557029,2.49236641221,1.84901531729,2.01371036847,2.13944954128,2.16070068545
Median Gap Length,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0
