,RoseBigL1R09,RoseBigL1R03,RoseBigL1R04,RoseBigL1R02,RoseBigL1R10,RoseBigL1R08,RoseBigL1R05,RoseBigL1R01,RoseBigL1R07,RoseBigL1R06
1-SPFP,0.983864339101,0.123642793733,0.0324876516683,0.962816106092,0.978068538477,0.973938582279,0.979659856797,0.039726615644,0.972878645528,0.968138544045
1-SPFN,0.983792567232,0.00696825718018,0.00248476314914,0.96311572601,0.978207876705,0.973931339274,0.979712527184,0.012131158388,0.972745666858,0.968135789427
SP-Score,0.983828453166,0.0653055254568,0.0174862074087,0.962965916051,0.978138207591,0.973934960777,0.97968619199,0.025928887016,0.972812156193,0.968137166736
TC,0.536144578313253,0.0,0.0,0.347068145800317,0.4503424657534247,0.4901812688821752,0.5489711934156378,0.0,0.4433497536945813,0.46808510638297873
Modeler,0.9838643391011791,0.12364279373339994,0.032487651668284816,0.9628161060917112,0.9780685384766571,0.973938582278654,0.9796598567967576,0.03972661564402515,0.9728786455281744,0.9681385440453554
Compression,1.005079006772009,31.350641025641025,20.108599779492835,1.0298591549295775,1.0,1.003865267807841,1.0076972418216805,20.33705882352941,1.0053667262969588,1.0088202866593163
Average Pairwise P-Distance,0.686391081078,0.701986317732,0.695097495526,0.701775939449,0.687312158477,0.693693289354,0.69663855509,0.70012148161,0.689946855716,0.687912503672
Maximum Pairwise P-Distance,0.741935483871,0.761569416499,0.750503018109,0.766364551863,0.753259779338,0.746987951807,0.757271815446,0.757056451613,0.744488977956,0.742393509128
Number of Sequences,100,100,100,100,100,100,100,100,100,100
Reference Length,1772,1560,1814,1775,1491,1811,1559,1700,1677,1814
Estimated Length,1781,48907,36477,1828,1491,1818,1571,34573,1686,1830
Maximum Ungapped Length,1055,1043,1084,1068,1036,1083,1045,1090,1057,1060
Sequence Length Heterogeneity,0.0123432134528,0.0108499586315,0.0142118293192,0.0169456574416,0.0112549969287,0.0173046884171,0.0126842421926,0.0237480399186,0.0152192173276,0.0176174207136
Gappiness Percentage,0.429774266366,0.353532051282,0.443169790518,0.428478873239,0.323393695506,0.432788514633,0.354502886466,0.393052941176,0.393840190817,0.440578831312
Average Gap Length,11.0643614703,9.05748070291,11.2687132044,12.3646561535,8.87338976813,9.957819845,10.0907431075,10.4306899781,9.91398979285,9.87532435438
Median Gap Length,9.0,7.0,9.0,13.0,7.0,7.0,8.0,7.0,8.0,8.0
