,RoseBigL1R09,RoseBigL1R03,RoseBigL1R04,RoseBigL1R02,RoseBigL1R10,RoseBigL1R08,RoseBigL1R05,RoseBigL1R01,RoseBigL1R07,RoseBigL1R06
1-SPFP,0.0468961749697,0.0502087752653,0.0527648050781,0.0421434228735,0.0631041788188,0.0475483010185,0.0537234826558,0.0525349185024,0.0581206848119,0.0450632028297
1-SPFN,0.0234486291474,0.0236645676012,0.026707298269,0.0203688244823,0.0295529935697,0.0217683708504,0.0264737764795,0.0249322042224,0.0276099186487,0.0215291634369
SP-Score,0.0351724020585,0.0369366714333,0.0397360516736,0.0312561236779,0.0463285861942,0.0346583359345,0.0400986295677,0.0387335613624,0.0428653017303,0.0332961831333
TC,0.014629948364888123,0.018379281537176273,0.006831767719897523,0.0,0.023972602739726026,0.010574018126888218,0.0,0.014559386973180077,0.0,0.009537784299339692
Modeler,0.04689617496968636,0.0502087752653311,0.05276480507814551,0.042143422873469,0.06310417881875631,0.04754830101850645,0.05372348265580625,0.052534918502370145,0.05812068481185918,0.04506320282971713
Compression,5.016365688487585,5.7012820512820515,5.073869900771775,5.183661971830986,5.461435278336687,4.878520154610713,5.585631815266196,5.56,5.220632081097198,5.077728776185226
Average Pairwise P-Distance,0.686391081078,0.701986317732,0.695097495526,0.701775939449,0.687312158477,0.693693289354,0.69663855509,0.70012148161,0.689946855716,0.687912503672
Maximum Pairwise P-Distance,0.741935483871,0.761569416499,0.750503018109,0.766364551863,0.753259779338,0.746987951807,0.757271815446,0.757056451613,0.744488977956,0.742393509128
Number of Sequences,100,100,100,100,100,100,100,100,100,100
Reference Length,1772,1560,1814,1775,1491,1811,1559,1700,1677,1814
Estimated Length,8889,8894,9204,9201,8143,8835,8708,9452,8755,9211
Maximum Ungapped Length,1055,1043,1084,1068,1036,1083,1045,1090,1057,1060
Sequence Length Heterogeneity,0.0123432134528,0.0108499586315,0.0142118293192,0.0169456574416,0.0112549969287,0.0173046884171,0.0126842421926,0.0237480399186,0.0152192173276,0.0176174207136
Gappiness Percentage,0.429774266366,0.353532051282,0.443169790518,0.428478873239,0.323393695506,0.432788514633,0.354502886466,0.393052941176,0.393840190817,0.440578831312
Average Gap Length,11.0643614703,9.05748070291,11.2687132044,12.3646561535,8.87338976813,9.957819845,10.0907431075,10.4306899781,9.91398979285,9.87532435438
Median Gap Length,9.0,7.0,9.0,13.0,7.0,7.0,8.0,7.0,8.0,8.0
