,RoseBigL1R09,RoseBigL1R03,RoseBigL1R04,RoseBigL1R02,RoseBigL1R10,RoseBigL1R08,RoseBigL1R05,RoseBigL1R01,RoseBigL1R07,RoseBigL1R06
1-SPFP,0.846567450057,0.637431797113,0.745045631107,0.372100466557,0.859329953484,0.607727615232,0.734799942428,0.657094724796,0.781214170738,0.776845286127
1-SPFN,0.80641476584,0.530917311649,0.690590686652,0.279948959771,0.831217030183,0.538847325338,0.654608189609,0.593125483092,0.743273743736,0.749954170784
SP-Score,0.826491107948,0.584174554381,0.71781815888,0.326024713164,0.845273491833,0.573287470285,0.694704066019,0.625110103944,0.762243957237,0.763399728455
TC,0.05163511187607573,0.0,0.04099060631938514,0.0,0.0,0.0015105740181268882,0.0205761316872428,0.0030651340996168583,0.0090311986863711,0.0
Modeler,0.8465674500568297,0.6374317971126431,0.745045631106638,0.3721004665570313,0.8593299534839481,0.6077276152323507,0.734799942428165,0.6570947247956572,0.7812141707383571,0.7768452861266365
Compression,0.8724604966139955,1.483974358974359,1.0110253583241455,1.488450704225352,1.0549966465459424,1.176697956929873,1.2103912764592688,1.1911764705882353,1.099582587954681,0.9366041896361632
Average Pairwise P-Distance,0.686391081078,0.701986317732,0.695097495526,0.701775939449,0.687312158477,0.693693289354,0.69663855509,0.70012148161,0.689946855716,0.687912503672
Maximum Pairwise P-Distance,0.741935483871,0.761569416499,0.750503018109,0.766364551863,0.753259779338,0.746987951807,0.757271815446,0.757056451613,0.744488977956,0.742393509128
Number of Sequences,100,100,100,100,100,100,100,100,100,100
Reference Length,1772,1560,1814,1775,1491,1811,1559,1700,1677,1814
Estimated Length,1546,2315,1834,2642,1573,2131,1887,2025,1844,1699
Maximum Ungapped Length,1055,1043,1084,1068,1036,1083,1045,1090,1057,1060
Sequence Length Heterogeneity,0.0123432134528,0.0108499586315,0.0142118293192,0.0169456574416,0.0112549969287,0.0173046884171,0.0126842421926,0.0237480399186,0.0152192173276,0.0176174207136
Gappiness Percentage,0.429774266366,0.353532051282,0.443169790518,0.428478873239,0.323393695506,0.432788514633,0.354502886466,0.393052941176,0.393840190817,0.440578831312
Average Gap Length,11.0643614703,9.05748070291,11.2687132044,12.3646561535,8.87338976813,9.957819845,10.0907431075,10.4306899781,9.91398979285,9.87532435438
Median Gap Length,9.0,7.0,9.0,13.0,7.0,7.0,8.0,7.0,8.0,8.0
