,RoseBigL1R09,RoseBigL1R03,RoseBigL1R04,RoseBigL1R02,RoseBigL1R10,RoseBigL1R08,RoseBigL1R05,RoseBigL1R01,RoseBigL1R07,RoseBigL1R06
1-SPFP,0.025032472814,0.0229800308499,0.0269257102752,0.0267805759425,0.0261574081339,0.0352935507688,0.017277313768,0.0524150397862,0.0282684105452,0.0148514238984
1-SPFN,0.0124106426032,0.0111803642688,0.0143220311473,0.0140658836847,0.0135124701421,0.0186971659291,0.00911552615738,0.0303362169304,0.0152395524483,0.00756253198392
SP-Score,0.0187215577086,0.0170801975593,0.0206238707113,0.0204232298136,0.019834939138,0.0269953583489,0.0131964199627,0.0413756283583,0.0217539814967,0.0112069779411
TC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Modeler,0.025032472813980845,0.02298003084987021,0.026925710275222708,0.026780575942478364,0.026157408133867684,0.03529355076879182,0.01727731376801563,0.05241503978615354,0.028268410545156098,0.014851423898376046
Compression,2.31489841986456,2.767948717948718,2.288864388092613,2.2067605633802816,2.641851106639839,2.2617338487023746,2.627325208466966,2.353529411764706,2.330948121645796,2.2938257993384785
Average Pairwise P-Distance,0.686391081078,0.701986317732,0.695097495526,0.701775939449,0.687312158477,0.693693289354,0.69663855509,0.70012148161,0.689946855716,0.687912503672
Maximum Pairwise P-Distance,0.741935483871,0.761569416499,0.750503018109,0.766364551863,0.753259779338,0.746987951807,0.757271815446,0.757056451613,0.744488977956,0.742393509128
Number of Sequences,100,100,100,100,100,100,100,100,100,100
Reference Length,1772,1560,1814,1775,1491,1811,1559,1700,1677,1814
Estimated Length,4102,4318,4152,3917,3939,4096,4096,4001,3909,4161
Maximum Ungapped Length,1055,1043,1084,1068,1036,1083,1045,1090,1057,1060
Sequence Length Heterogeneity,0.0123432134528,0.0108499586315,0.0142118293192,0.0169456574416,0.0112549969287,0.0173046884171,0.0126842421926,0.0237480399186,0.0152192173276,0.0176174207136
Gappiness Percentage,0.429774266366,0.353532051282,0.443169790518,0.428478873239,0.323393695506,0.432788514633,0.354502886466,0.393052941176,0.393840190817,0.440578831312
Average Gap Length,11.0643614703,9.05748070291,11.2687132044,12.3646561535,8.87338976813,9.957819845,10.0907431075,10.4306899781,9.91398979285,9.87532435438
Median Gap Length,9.0,7.0,9.0,13.0,7.0,7.0,8.0,7.0,8.0,8.0
