,RoseBigL1R09,RoseBigL1R03,RoseBigL1R04,RoseBigL1R02,RoseBigL1R10,RoseBigL1R08,RoseBigL1R05,RoseBigL1R01,RoseBigL1R07,RoseBigL1R06
1-SPFP,0.976399077082,0.971233702843,0.961805965708,0.95379611454,0.972324516064,0.963129676422,0.974246338454,0.959481445229,0.964555067916,0.957082732931
1-SPFN,0.975849439853,0.97111724039,0.961451984645,0.953957291338,0.972102450702,0.963177298168,0.974295555263,0.959925652719,0.96410368355,0.957191853903
SP-Score,0.976124258467,0.971175471616,0.961628975177,0.953876702939,0.972213483383,0.963153487295,0.974270946858,0.959703548974,0.964329375733,0.957137293417
TC,0.4612736660929432,0.44110275689223055,0.3851409052092229,0.2757527733755943,0.2988013698630137,0.40483383685800606,0.46502057613168724,0.35172413793103446,0.33169129720853857,0.3932501834189288
Modeler,0.976399077081534,0.9712337028425966,0.9618059657083198,0.9537961145395858,0.9723245160636464,0.9631296764219498,0.9742463384539729,0.9594814452291254,0.9645550679160125,0.9570827329306647
Compression,1.007900677200903,1.008974358974359,1.0066152149944874,1.0078873239436619,1.0093896713615023,1.0011043622308118,1.0064143681847337,0.9911764705882353,0.9838998211091234,0.9994487320837927
Average Pairwise P-Distance,0.686391081078,0.701986317732,0.695097495526,0.701775939449,0.687312158477,0.693693289354,0.69663855509,0.70012148161,0.689946855716,0.687912503672
Maximum Pairwise P-Distance,0.741935483871,0.761569416499,0.750503018109,0.766364551863,0.753259779338,0.746987951807,0.757271815446,0.757056451613,0.744488977956,0.742393509128
Number of Sequences,100,100,100,100,100,100,100,100,100,100
Reference Length,1772,1560,1814,1775,1491,1811,1559,1700,1677,1814
Estimated Length,1786,1574,1826,1789,1505,1813,1569,1685,1650,1813
Maximum Ungapped Length,1055,1043,1084,1068,1036,1083,1045,1090,1057,1060
Sequence Length Heterogeneity,0.0123432134528,0.0108499586315,0.0142118293192,0.0169456574416,0.0112549969287,0.0173046884171,0.0126842421926,0.0237480399186,0.0152192173276,0.0176174207136
Gappiness Percentage,0.429774266366,0.353532051282,0.443169790518,0.428478873239,0.323393695506,0.432788514633,0.354502886466,0.393052941176,0.393840190817,0.440578831312
Average Gap Length,11.0643614703,9.05748070291,11.2687132044,12.3646561535,8.87338976813,9.957819845,10.0907431075,10.4306899781,9.91398979285,9.87532435438
Median Gap Length,9.0,7.0,9.0,13.0,7.0,7.0,8.0,7.0,8.0,8.0
