,RoseSmallM1R07,RoseSmallM1R08,RoseSmallM1R10,RoseSmallM1R09,RoseSmallM1R01,RoseSmallM1R05,RoseSmallM1R04,RoseSmallM1R03,RoseSmallM1R02,RoseSmallM1R06
1-SPFP,0.0350617490598,0.0888961571608,0.0295943280797,0.04962699176,0.0744342757334,0.0384810530696,0.127655552263,0.0564780619932,0.0467501310322,0.0535256301619
1-SPFN,0.0224911753258,0.0576200234882,0.0178117476159,0.0320550705171,0.0483106045869,0.0227324774696,0.083750381293,0.0350031517668,0.0290658415891,0.0318287328637
SP-Score,0.0287764621928,0.0732580903245,0.0237030378478,0.0408410311386,0.0613724401602,0.0306067652696,0.105702966778,0.04574060688,0.0379079863107,0.0426771815128
TC,0.0,0.010700389105058366,0.001890359168241966,0.0018501387604070306,0.0065116279069767444,0.004803073967339097,0.020076481835564052,9.250693802035153E-4,9.46969696969697E-4,0.002835538752362949
Modeler,0.035061749059771836,0.08889615716080533,0.02959432807969294,0.04962699176002704,0.07443427573341325,0.03848105306964786,0.1276555522629035,0.0564780619931578,0.04675013103220961,0.05352563016190444
Compression,2.9214285714285713,2.808383233532934,2.972,2.5766369047619047,2.6997617156473392,3.056547619047619,2.7116200169635283,2.8325242718446604,2.8965785381026437,3.0746987951807228
Average Pairwise P-Distance,0.697177201153,0.689167777362,0.698339492725,0.697335533254,0.687791158277,0.700517107951,0.695764003148,0.703221047452,0.70032693213,0.691896696148
Maximum Pairwise P-Distance,0.750503018109,0.737160120846,0.744186046512,0.752774974773,0.742914979757,0.747208121827,0.744702320888,0.745951417004,0.743951612903,0.741641337386
Number of Sequences,25,25,25,25,25,25,25,25,25,25
Reference Length,1260,1169,1250,1344,1259,1344,1179,1236,1286,1245
Estimated Length,3681,3283,3715,3463,3399,4108,3197,3501,3725,3828
Maximum Ungapped Length,1030,1032,1045,1046,1047,1066,1030,1031,1031,1030
Sequence Length Heterogeneity,0.00938413453229,0.00948593913307,0.0157084767168,0.013065817749,0.0168619468371,0.0160649802552,0.00771410269497,0.0106786774283,0.0111523701222,0.00799817807571
Gappiness Percentage,0.196412698413,0.141556886228,0.1936,0.241517857143,0.192025416998,0.246428571429,0.144020356234,0.18498381877,0.214401244168,0.187502008032
Average Gap Length,3.81913580247,4.44360902256,4.84,5.04350528278,4.77032359905,5.85987261146,5.02962085308,4.54372019078,5.24980959634,4.59166011015
Median Gap Length,3.0,3.0,4.0,4.0,3.0,4.0,3.0,3.0,5.0,3.0
