,RoseSmallM1R07,RoseSmallM1R08,RoseSmallM1R10,RoseSmallM1R09,RoseSmallM1R01,RoseSmallM1R05,RoseSmallM1R04,RoseSmallM1R03,RoseSmallM1R02,RoseSmallM1R06
1-SPFP,0.0359217977244,0.0793372421736,0.028439846717,0.0516812707958,0.07265720123,0.0393819897114,0.138559430948,0.0537714110766,0.0464934811588,0.0546937174888
1-SPFN,0.0228602681627,0.0509975737875,0.0166953609426,0.0330154466085,0.0472339797554,0.0229715894548,0.0885404271152,0.0337458159031,0.0288239621862,0.0318589659609
SP-Score,0.0293910329435,0.0651674079805,0.0225676038298,0.0423483587021,0.0599455904927,0.0311767895831,0.113549929032,0.0437586134898,0.0376587216725,0.0432763417249
TC,0.0,0.0048638132295719845,0.0,0.0018501387604070306,0.0018604651162790699,9.606147934678194E-4,0.02198852772466539,0.0,9.46969696969697E-4,0.0
Modeler,0.03592179772437283,0.07933724217359439,0.028439846716959084,0.05168127079577172,0.07265720122995646,0.0393819897113758,0.13855943094847167,0.05377141107655618,0.046493481158760605,0.05469371748884096
Compression,2.9571428571428573,2.857142857142857,3.0472,2.5610119047619047,2.6957903097696585,3.0476190476190474,2.796437659033079,2.709546925566343,2.9090202177293936,3.1156626506024097
Average Pairwise P-Distance,0.697177201153,0.689167777362,0.698339492725,0.697335533254,0.687791158277,0.700517107951,0.695764003148,0.703221047452,0.70032693213,0.691896696148
Maximum Pairwise P-Distance,0.750503018109,0.737160120846,0.744186046512,0.752774974773,0.742914979757,0.747208121827,0.744702320888,0.745951417004,0.743951612903,0.741641337386
Number of Sequences,25,25,25,25,25,25,25,25,25,25
Reference Length,1260,1169,1250,1344,1259,1344,1179,1236,1286,1245
Estimated Length,3726,3340,3809,3442,3394,4096,3297,3349,3741,3879
Maximum Ungapped Length,1030,1032,1045,1046,1047,1066,1030,1031,1031,1030
Sequence Length Heterogeneity,0.00938413453229,0.00948593913307,0.0157084767168,0.013065817749,0.0168619468371,0.0160649802552,0.00771410269497,0.0106786774283,0.0111523701222,0.00799817807571
Gappiness Percentage,0.196412698413,0.141556886228,0.1936,0.241517857143,0.192025416998,0.246428571429,0.144020356234,0.18498381877,0.214401244168,0.187502008032
Average Gap Length,3.81913580247,4.44360902256,4.84,5.04350528278,4.77032359905,5.85987261146,5.02962085308,4.54372019078,5.24980959634,4.59166011015
Median Gap Length,3.0,3.0,4.0,4.0,3.0,4.0,3.0,3.0,5.0,3.0
