,RoseSmallM1R07,RoseSmallM1R08,RoseSmallM1R10,RoseSmallM1R09,RoseSmallM1R01,RoseSmallM1R05,RoseSmallM1R04,RoseSmallM1R03,RoseSmallM1R02,RoseSmallM1R06
1-SPFP,0.137342917412,0.54713982051,0.119561524378,0.254992556086,0.38398287664,0.0516597762325,0.518374570434,0.219846720221,0.0645806139963,0.277530667013
1-SPFN,0.0921926798824,0.487651890662,0.0851984612695,0.183468770987,0.303853042387,0.0329503051204,0.455570565185,0.152585965705,0.0422180341252,0.200794794533
SP-Score,0.114767798647,0.517395855586,0.102379992824,0.219230663537,0.343917959514,0.0423050406764,0.486972567809,0.186216342963,0.0533993240607,0.239162730773
TC,0.0,0.058365758754863814,0.001890359168241966,0.0,0.0,0.004803073967339097,0.08891013384321224,0.0,0.001893939393939394,9.45179584120983E-4
Modeler,0.13734291741229868,0.5471398205096258,0.11956152437758356,0.2549925560860414,0.3839828766397525,0.051659776232490115,0.5183745704336284,0.2198467202206918,0.06458061399632055,0.277530667013344
Compression,1.6777777777777778,1.3079555175363557,1.604,1.5230654761904763,1.4193804606830818,1.7135416666666667,1.3138252756573368,1.6059870550161812,1.754276827371695,1.665863453815261
Average Pairwise P-Distance,0.697177201153,0.689167777362,0.698339492725,0.697335533254,0.687791158277,0.700517107951,0.695764003148,0.703221047452,0.70032693213,0.691896696148
Maximum Pairwise P-Distance,0.750503018109,0.737160120846,0.744186046512,0.752774974773,0.742914979757,0.747208121827,0.744702320888,0.745951417004,0.743951612903,0.741641337386
Number of Sequences,25,25,25,25,25,25,25,25,25,25
Reference Length,1260,1169,1250,1344,1259,1344,1179,1236,1286,1245
Estimated Length,2114,1529,2005,2047,1787,2303,1549,1985,2256,2074
Maximum Ungapped Length,1030,1032,1045,1046,1047,1066,1030,1031,1031,1030
Sequence Length Heterogeneity,0.00938413453229,0.00948593913307,0.0157084767168,0.013065817749,0.0168619468371,0.0160649802552,0.00771410269497,0.0106786774283,0.0111523701222,0.00799817807571
Gappiness Percentage,0.196412698413,0.141556886228,0.1936,0.241517857143,0.192025416998,0.246428571429,0.144020356234,0.18498381877,0.214401244168,0.187502008032
Average Gap Length,3.81913580247,4.44360902256,4.84,5.04350528278,4.77032359905,5.85987261146,5.02962085308,4.54372019078,5.24980959634,4.59166011015
Median Gap Length,3.0,3.0,4.0,4.0,3.0,4.0,3.0,3.0,5.0,3.0
