,RoseSmallM1R07,RoseSmallM1R08,RoseSmallM1R10,RoseSmallM1R09,RoseSmallM1R01,RoseSmallM1R05,RoseSmallM1R04,RoseSmallM1R03,RoseSmallM1R02,RoseSmallM1R06
1-SPFP,0.0194619952243,0.0257833275523,0.016821602479,0.040418575512,0.0397353206564,0.0167774430211,0.0446630333643,0.0235995148204,0.0213620244034,0.0301713300528
1-SPFN,0.00618062732361,0.00825450666451,0.00498338870432,0.0138650100739,0.0159514881571,0.00491358290787,0.0135153707174,0.00675523075315,0.00596971804252,0.00846526721019
SP-Score,0.012821311274,0.0170189171084,0.0109024955916,0.0271417927929,0.0278434044067,0.0108455129645,0.0290892020409,0.0151773727868,0.013665871223,0.0193182986315
TC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.250693802035153E-4,0.0,0.0
Modeler,0.019461995224309532,0.025783327552318186,0.016821602478972998,0.040418575511962096,0.039735320656351304,0.01677744302108967,0.044663033364349326,0.02359951482035399,0.02136202440343812,0.030171330052799827
Compression,4.411904761904762,4.428571428571429,4.572,3.8444940476190474,4.027005559968229,4.5007440476190474,4.609838846480068,4.946601941747573,4.631415241057542,4.921285140562249
Average Pairwise P-Distance,0.697177201153,0.689167777362,0.698339492725,0.697335533254,0.687791158277,0.700517107951,0.695764003148,0.703221047452,0.70032693213,0.691896696148
Maximum Pairwise P-Distance,0.750503018109,0.737160120846,0.744186046512,0.752774974773,0.742914979757,0.747208121827,0.744702320888,0.745951417004,0.743951612903,0.741641337386
Number of Sequences,25,25,25,25,25,25,25,25,25,25
Reference Length,1260,1169,1250,1344,1259,1344,1179,1236,1286,1245
Estimated Length,5559,5177,5715,5167,5070,6049,5435,6114,5956,6127
Maximum Ungapped Length,1030,1032,1045,1046,1047,1066,1030,1031,1031,1030
Sequence Length Heterogeneity,0.00938413453229,0.00948593913307,0.0157084767168,0.013065817749,0.0168619468371,0.0160649802552,0.00771410269497,0.0106786774283,0.0111523701222,0.00799817807571
Gappiness Percentage,0.196412698413,0.141556886228,0.1936,0.241517857143,0.192025416998,0.246428571429,0.144020356234,0.18498381877,0.214401244168,0.187502008032
Average Gap Length,3.81913580247,4.44360902256,4.84,5.04350528278,4.77032359905,5.85987261146,5.02962085308,4.54372019078,5.24980959634,4.59166011015
Median Gap Length,3.0,3.0,4.0,4.0,3.0,4.0,3.0,3.0,5.0,3.0
