,RoseBigS1R07,RoseBigS1R05,RoseBigS1R02,RoseBigS1R10,RoseBigS1R08,RoseBigS1R06,RoseBigS1R09,RoseBigS1R01,RoseBigS1R03,RoseBigS1R04
1-SPFP,0.0477351637176,0.0445901696646,0.0408956015613,0.0548092333285,0.0614894377274,0.0827894271765,0.0868315956405,0.0354900800505,0.0497772241872,0.0468273594762
1-SPFN,0.0227573370289,0.0218410908133,0.019963482181,0.0285744678428,0.0298020835004,0.0410797909922,0.0444364631874,0.0174486758835,0.0220049967057,0.0223772669902
SP-Score,0.0352462503732,0.0332156302389,0.0304295418712,0.0416918505856,0.0456457606139,0.0619346090843,0.0656340294139,0.026469377967,0.0358911104465,0.0346023132332
TC,9.354536950420954E-4,0.006216696269982238,0.0,0.0027397260273972603,0.008928571428571428,0.0037629350893697085,0.004516711833785004,8.984725965858042E-4,0.0,0.0027803521779425394
Modeler,0.04773516371761003,0.04459016966460313,0.04089560156130894,0.0548092333284957,0.061489437727434766,0.08278942717646708,0.08683159564047702,0.03549008005051298,0.04977722418719323,0.04682735947616621
Compression,6.822408536585366,6.472181551976574,6.899248120300752,6.419983753046304,5.988217967599411,6.027755102040817,6.334384858044164,6.9801324503311255,7.0774593338497285,7.146697388632872
Average Pairwise P-Distance,0.701145928008,0.695085265282,0.70031715052,0.698266793136,0.688537900986,0.691359150484,0.68833980826,0.695360136635,0.693516726128,0.696017748656
Maximum Pairwise P-Distance,0.771169354839,0.748991935484,0.762917933131,0.758585858586,0.749241658241,0.754793138244,0.74873864783,0.749496981891,0.752275025278,0.749492900609
Number of Sequences,100,100,100,100,100,100,100,100,100,100
Reference Length,1312,1366,1330,1231,1358,1225,1268,1359,1291,1302
Estimated Length,8951,8841,9176,7903,8132,7384,8032,9486,9137,9305
Maximum Ungapped Length,1013,1017,1013,1015,1019,1012,1016,1019,1018,1014
Sequence Length Heterogeneity,0.00444867972292,0.00503042173724,0.00448051140042,0.00521097922352,0.0047822682006,0.00414017029855,0.0048962580072,0.00494101420917,0.00394734731995,0.00409996304492
Gappiness Percentage,0.234763719512,0.265929721816,0.246759398496,0.185735174655,0.258696612666,0.182432653061,0.209124605678,0.260743193525,0.223121611154,0.231397849462
Average Gap Length,2.50638782651,2.51165041831,2.5526172513,2.22390818014,2.61683426443,2.39836874866,2.41173260573,2.6314421506,2.36649687808,2.40985442329
Median Gap Length,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
