,RoseBigS1R07,RoseBigS1R05,RoseBigS1R02,RoseBigS1R10,RoseBigS1R08,RoseBigS1R06,RoseBigS1R09,RoseBigS1R01,RoseBigS1R03,RoseBigS1R04
1-SPFP,0.572977804539,0.593357419533,0.534564260301,0.677115945015,0.767515078889,0.837735779542,0.709495747425,0.630900031293,0.719569315202,0.667705952174
1-SPFN,0.498884231103,0.50318463678,0.454143018949,0.610273945855,0.730281693429,0.794262907169,0.663075304586,0.570577085217,0.650507538204,0.597762191858
SP-Score,0.535931017821,0.548271028157,0.494353639625,0.643694945435,0.748898386159,0.815999343356,0.686285526005,0.600738558255,0.685038426703,0.632734072016
TC,0.009354536950420954,0.006216696269982238,0.0018467220683287165,0.006392694063926941,0.00625,0.021636876763875823,0.026196928635953028,0.0026954177897574125,0.03364485981308411,9.267840593141798E-4
Modeler,0.5729778045385115,0.5933574195334724,0.5345642603014052,0.6771159450150263,0.7675150788890432,0.8377357795421787,0.7094957474249264,0.6309000312926609,0.7195693152016479,0.6677059521743689
Compression,1.5060975609756098,1.6661786237188874,1.5969924812030074,1.5377741673436232,1.1649484536082475,1.2759183673469388,1.3296529968454258,1.4746136865342163,1.4159566227730442,1.4423963133640554
Average Pairwise P-Distance,0.701145928008,0.695085265282,0.70031715052,0.698266793136,0.688537900986,0.691359150484,0.68833980826,0.695360136635,0.693516726128,0.696017748656
Maximum Pairwise P-Distance,0.771169354839,0.748991935484,0.762917933131,0.758585858586,0.749241658241,0.754793138244,0.74873864783,0.749496981891,0.752275025278,0.749492900609
Number of Sequences,100,100,100,100,100,100,100,100,100,100
Reference Length,1312,1366,1330,1231,1358,1225,1268,1359,1291,1302
Estimated Length,1976,2276,2124,1893,1582,1563,1686,2004,1828,1878
Maximum Ungapped Length,1013,1017,1013,1015,1019,1012,1016,1019,1018,1014
Sequence Length Heterogeneity,0.00444867972292,0.00503042173724,0.00448051140042,0.00521097922352,0.0047822682006,0.00414017029855,0.0048962580072,0.00494101420917,0.00394734731995,0.00409996304492
Gappiness Percentage,0.234763719512,0.265929721816,0.246759398496,0.185735174655,0.258696612666,0.182432653061,0.209124605678,0.260743193525,0.223121611154,0.231397849462
Average Gap Length,2.50638782651,2.51165041831,2.5526172513,2.22390818014,2.61683426443,2.39836874866,2.41173260573,2.6314421506,2.36649687808,2.40985442329
Median Gap Length,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
