,RoseBigS1R07,RoseBigS1R05,RoseBigS1R02,RoseBigS1R10,RoseBigS1R08,RoseBigS1R06,RoseBigS1R09,RoseBigS1R01,RoseBigS1R03,RoseBigS1R04
1-SPFP,0.0356998266234,0.0350209950096,0.0347647545874,0.0505203367831,0.0504297135776,0.0610793424876,0.073414207484,0.0341266595875,0.0369685919323,0.0352604874324
1-SPFN,0.00469451991051,0.00454566670696,0.00465719432638,0.0071565832593,0.00703954411577,0.00885474429771,0.0102194703174,0.00420486982315,0.00455713370604,0.00447549411951
SP-Score,0.0201971732669,0.0197833308583,0.0197109744569,0.0288384600212,0.0287346288467,0.0349670433926,0.0418168389007,0.0191657647053,0.0207628628192,0.019867990776
TC,0.0,8.880994671403197E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Modeler,0.03569982662335856,0.03502099500956317,0.034764754587407305,0.05052033678310112,0.05042971357761097,0.06107934248755327,0.073414207484028,0.03412665958751872,0.03696859193229864,0.03526048743240577
Compression,13.291920731707316,12.362371888726209,12.42406015037594,12.012185215272137,11.860824742268042,12.053061224489795,13.295741324921135,12.589403973509933,12.993803253292022,12.781874039938556
Average Pairwise P-Distance,0.701145928008,0.695085265282,0.70031715052,0.698266793136,0.688537900986,0.691359150484,0.68833980826,0.695360136635,0.693516726128,0.696017748656
Maximum Pairwise P-Distance,0.771169354839,0.748991935484,0.762917933131,0.758585858586,0.749241658241,0.754793138244,0.74873864783,0.749496981891,0.752275025278,0.749492900609
Number of Sequences,100,100,100,100,100,100,100,100,100,100
Reference Length,1312,1366,1330,1231,1358,1225,1268,1359,1291,1302
Estimated Length,17439,16887,16524,14787,16107,14765,16859,17109,16775,16642
Maximum Ungapped Length,1013,1017,1013,1015,1019,1012,1016,1019,1018,1014
Sequence Length Heterogeneity,0.00444867972292,0.00503042173724,0.00448051140042,0.00521097922352,0.0047822682006,0.00414017029855,0.0048962580072,0.00494101420917,0.00394734731995,0.00409996304492
Gappiness Percentage,0.234763719512,0.265929721816,0.246759398496,0.185735174655,0.258696612666,0.182432653061,0.209124605678,0.260743193525,0.223121611154,0.231397849462
Average Gap Length,2.50638782651,2.51165041831,2.5526172513,2.22390818014,2.61683426443,2.39836874866,2.41173260573,2.6314421506,2.36649687808,2.40985442329
Median Gap Length,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
