,RoseBigS1R07,RoseBigS1R05,RoseBigS1R02,RoseBigS1R10,RoseBigS1R08,RoseBigS1R06,RoseBigS1R09,RoseBigS1R01,RoseBigS1R03,RoseBigS1R04
1-SPFP,0.0482569374119,0.046041172635,0.0412494792852,0.0556634301623,0.0617826289604,0.0844519286428,0.0867502327247,0.0359819081526,0.0507330342915,0.0475580624913
1-SPFN,0.0223482962731,0.0221492716069,0.0199275964404,0.0283600917058,0.0289306929849,0.0407400284361,0.0432981160365,0.0173891490507,0.0219394162118,0.0222139738605
SP-Score,0.0353026168425,0.034095222121,0.0305885378628,0.0420117609341,0.0453566609726,0.0625959785395,0.0650241743806,0.0266855286017,0.0363362252517,0.0348860181759
TC,9.354536950420954E-4,0.007104795737122558,0.0,0.0045662100456621,0.008928571428571428,0.004703668861712135,0.0036133694670280035,8.984725965858042E-4,0.0,0.0027803521779425394
Modeler,0.048256937411916674,0.0460411726350139,0.04124947928515084,0.055663430162325556,0.06178262896040409,0.08445192864284587,0.08675023272472723,0.03598190815263977,0.05073303429152538,0.04755806249128191
Compression,6.921493902439025,6.577598828696925,6.920300751879699,6.516653127538587,6.103829160530191,6.1257142857142854,6.443217665615142,7.074319352465047,7.103795507358637,7.3018433179723505
Average Pairwise P-Distance,0.701145928008,0.695085265282,0.70031715052,0.698266793136,0.688537900986,0.691359150484,0.68833980826,0.695360136635,0.693516726128,0.696017748656
Maximum Pairwise P-Distance,0.771169354839,0.748991935484,0.762917933131,0.758585858586,0.749241658241,0.754793138244,0.74873864783,0.749496981891,0.752275025278,0.749492900609
Number of Sequences,100,100,100,100,100,100,100,100,100,100
Reference Length,1312,1366,1330,1231,1358,1225,1268,1359,1291,1302
Estimated Length,9081,8985,9204,8022,8289,7504,8170,9614,9171,9507
Maximum Ungapped Length,1013,1017,1013,1015,1019,1012,1016,1019,1018,1014
Sequence Length Heterogeneity,0.00444867972292,0.00503042173724,0.00448051140042,0.00521097922352,0.0047822682006,0.00414017029855,0.0048962580072,0.00494101420917,0.00394734731995,0.00409996304492
Gappiness Percentage,0.234763719512,0.265929721816,0.246759398496,0.185735174655,0.258696612666,0.182432653061,0.209124605678,0.260743193525,0.223121611154,0.231397849462
Average Gap Length,2.50638782651,2.51165041831,2.5526172513,2.22390818014,2.61683426443,2.39836874866,2.41173260573,2.6314421506,2.36649687808,2.40985442329
Median Gap Length,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
