,RoseSmallL1R07,RoseSmallL1R09,RoseSmallL1R10,RoseSmallL1R08,RoseSmallL1R01,RoseSmallL1R05,RoseSmallL1R06,RoseSmallL1R04,RoseSmallL1R03,RoseSmallL1R02
1-SPFP,0.133693415987,0.136673596819,0.120725559513,0.253704732717,0.159319507843,0.176300994666,0.266568919842,0.141896334582,0.155459782139,0.199323057524
1-SPFN,0.131689210654,0.129761235067,0.121348623177,0.248838095748,0.158701151721,0.17175587834,0.267509363296,0.144139324379,0.149057524757,0.200752651157
SP-Score,0.132691313321,0.133217415943,0.121037091345,0.251271414232,0.159010329782,0.174028436503,0.267039141569,0.14301782948,0.152258653448,0.20003785434
TC,0.02700096432015429,0.0,0.0,0.038350910834132314,0.007252946509519492,0.0037488284910965324,0.07996146435452794,0.014222222222222223,0.0372848948374761,0.0036101083032490976
Modeler,0.13369341598712664,0.13667359681937544,0.12072555951313944,0.25370473271721306,0.15931950784283586,0.17630099466628227,0.26656891984205,0.14189633458185447,0.1554597821387227,0.19932305752351878
Compression,0.9596136962247586,0.951316839584996,0.8039664378337147,0.9085570469798657,0.858609794628752,0.9102990033222591,0.8853448275862069,0.8023686158401184,0.9165316045380876,0.8457278481012658
Average Pairwise P-Distance,0.704561743279,0.696563443924,0.695354260144,0.687884248223,0.694264759563,0.696374217017,0.694863349246,0.693497026321,0.693799059011,0.70163082702
Maximum Pairwise P-Distance,0.755020080321,0.737854251012,0.748490945674,0.735412474849,0.743693239152,0.762096774194,0.741482965932,0.73246492986,0.749498997996,0.743229689067
Number of Sequences,25,25,25,25,25,25,25,25,25,25
Reference Length,1139,1253,1311,1192,1266,1204,1160,1351,1234,1264
Estimated Length,1093,1192,1054,1083,1087,1096,1027,1084,1131,1069
Maximum Ungapped Length,1048,1052,1049,1041,1070,1057,1027,1084,1041,1069
Sequence Length Heterogeneity,0.0109644036051,0.0134046126421,0.0168876911404,0.012424394656,0.0206898254456,0.0185882541355,0.00941896491909,0.0173645747222,0.0107651460388,0.0199976896927
Gappiness Percentage,0.115504828797,0.185634477255,0.226300533944,0.151543624161,0.193744075829,0.158936877076,0.132586206897,0.235914137676,0.180713128039,0.196360759494
Average Gap Length,6.60441767068,9.17192429022,9.74638633377,8.65134099617,9.49226006192,9.2,8.85944700461,11.3666191155,8.02158273381,8.39648173207
Median Gap Length,5.0,8.0,8.0,8.0,7.0,6.0,8.0,10.0,5.0,5.0
