,RoseSmallL1R07,RoseSmallL1R09,RoseSmallL1R10,RoseSmallL1R08,RoseSmallL1R01,RoseSmallL1R05,RoseSmallL1R06,RoseSmallL1R04,RoseSmallL1R03,RoseSmallL1R02
1-SPFP,0.425825409657,0.421444229069,0.477773054323,0.72850158707,0.522749604987,0.428358602842,0.570067525692,0.327434735815,0.437703932854,0.281086678497
1-SPFN,0.332909762745,0.353900026962,0.402748286926,0.667635198844,0.442710205712,0.33650322339,0.470612627073,0.260824488765,0.362824550494,0.212286395128
SP-Score,0.379367586201,0.387672128016,0.440260670624,0.698068392957,0.482729905349,0.382430913116,0.520340076383,0.29412961229,0.400264241674,0.246686536813
TC,0.08775313404050145,0.0,0.001851851851851852,0.23873441994247363,0.08794197642792384,0.01499531396438613,0.06165703275529865,0.0,9.560229445506692E-4,0.0036101083032490976
Modeler,0.4258254096572609,0.4214442290693019,0.4777730543228221,0.7285015870699405,0.5227496049869901,0.4283586028416491,0.5700675256917637,0.32743473581458216,0.43770393285391046,0.2810866784969886
Compression,1.5548726953467955,1.3647246608140462,1.2669717772692601,1.1988255033557047,1.4020537124802528,1.4659468438538206,1.4232758620689656,1.3752775721687638,1.3492706645056727,1.567246835443038
Average Pairwise P-Distance,0.704561743279,0.696563443924,0.695354260144,0.687884248223,0.694264759563,0.696374217017,0.694863349246,0.693497026321,0.693799059011,0.70163082702
Maximum Pairwise P-Distance,0.755020080321,0.737854251012,0.748490945674,0.735412474849,0.743693239152,0.762096774194,0.741482965932,0.73246492986,0.749498997996,0.743229689067
Number of Sequences,25,25,25,25,25,25,25,25,25,25
Reference Length,1139,1253,1311,1192,1266,1204,1160,1351,1234,1264
Estimated Length,1771,1710,1661,1429,1775,1765,1651,1858,1665,1981
Maximum Ungapped Length,1048,1052,1049,1041,1070,1057,1027,1084,1041,1069
Sequence Length Heterogeneity,0.0109644036051,0.0134046126421,0.0168876911404,0.012424394656,0.0206898254456,0.0185882541355,0.00941896491909,0.0173645747222,0.0107651460388,0.0199976896927
Gappiness Percentage,0.115504828797,0.185634477255,0.226300533944,0.151543624161,0.193744075829,0.158936877076,0.132586206897,0.235914137676,0.180713128039,0.196360759494
Average Gap Length,6.60441767068,9.17192429022,9.74638633377,8.65134099617,9.49226006192,9.2,8.85944700461,11.3666191155,8.02158273381,8.39648173207
Median Gap Length,5.0,8.0,8.0,8.0,7.0,6.0,8.0,10.0,5.0,5.0
