,RoseSmallL1R07,RoseSmallL1R09,RoseSmallL1R10,RoseSmallL1R08,RoseSmallL1R01,RoseSmallL1R05,RoseSmallL1R06,RoseSmallL1R04,RoseSmallL1R03,RoseSmallL1R02
1-SPFP,0.0665974356093,0.126038386593,0.0764018442777,0.216622288414,0.160314010933,0.110673410249,0.161411911624,0.148483131947,0.0993923744138,0.0718786194116
1-SPFN,0.0574729555752,0.110451666162,0.064875781182,0.192588555494,0.141934624859,0.0962904261295,0.141770331728,0.131525430487,0.086735137376,0.0622240641157
SP-Score,0.0620351955923,0.118245026377,0.0706388127298,0.204605421954,0.151124317896,0.103481918189,0.151591121676,0.140004281217,0.0930637558949,0.0670513417637
TC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Modeler,0.06659743560930434,0.12603838659318037,0.07640184427765134,0.21662228841351505,0.16031401093323508,0.11067341024911798,0.16141191162417048,0.1484831319470756,0.09939237441382903,0.07187861941162844
Compression,1.1510096575943811,1.0502793296089385,1.0205949656750573,1.1057046979865772,1.0576619273301737,1.0971760797342194,1.1051724137931034,0.9859363434492968,1.0696920583468394,1.057753164556962
Average Pairwise P-Distance,0.704561743279,0.696563443924,0.695354260144,0.687884248223,0.694264759563,0.696374217017,0.694863349246,0.693497026321,0.693799059011,0.70163082702
Maximum Pairwise P-Distance,0.755020080321,0.737854251012,0.748490945674,0.735412474849,0.743693239152,0.762096774194,0.741482965932,0.73246492986,0.749498997996,0.743229689067
Number of Sequences,25,25,25,25,25,25,25,25,25,25
Reference Length,1139,1253,1311,1192,1266,1204,1160,1351,1234,1264
Estimated Length,1311,1316,1338,1318,1339,1321,1282,1332,1320,1337
Maximum Ungapped Length,1048,1052,1049,1041,1070,1057,1027,1084,1041,1069
Sequence Length Heterogeneity,0.0109644036051,0.0134046126421,0.0168876911404,0.012424394656,0.0206898254456,0.0185882541355,0.00941896491909,0.0173645747222,0.0107651460388,0.0199976896927
Gappiness Percentage,0.115504828797,0.185634477255,0.226300533944,0.151543624161,0.193744075829,0.158936877076,0.132586206897,0.235914137676,0.180713128039,0.196360759494
Average Gap Length,6.60441767068,9.17192429022,9.74638633377,8.65134099617,9.49226006192,9.2,8.85944700461,11.3666191155,8.02158273381,8.39648173207
Median Gap Length,5.0,8.0,8.0,8.0,7.0,6.0,8.0,10.0,5.0,5.0
