File Name, Data Type, RAxML Model, Baliphy Model
BALBS001.faa,Amino-Acids,VTF,LG
BALBS002.faa,Amino-Acids,RTREVF,LG
BALBS003.faa,Amino-Acids,LG,LG
BALBS004.faa,Amino-Acids,BLOSUM62F,LG
BALBS005.faa,Amino-Acids,LGF,LG
BALBS006.faa,Amino-Acids,LGF,LG
BALBS007.faa,Amino-Acids,BLOSUM62F,WAG
BALBS008.faa,Amino-Acids,LGF,LG
BALBS009.faa,Amino-Acids,LGF,LG
BALBS010.faa,Amino-Acids,WAG,WAG
BALBS011.faa,Amino-Acids,BLOSUM62F,LG
BALBS012.faa,Amino-Acids,WAG,WAG
BALBS013.faa,Amino-Acids,LGF,LG
BALBS014.faa,Amino-Acids,LG,LG
BALBS015.faa,Amino-Acids,LGF,LG
BALBS016.faa,Amino-Acids,BLOSUM62F,WAG
BALBS017.faa,Amino-Acids,WAG,WAG
BALBS018.faa,Amino-Acids,LGF,WAG
BALBS019.faa,Amino-Acids,LGF,WAG
BALBS020.faa,Amino-Acids,PMB,LG
BALBS021.faa,Amino-Acids,LGF,LG
BALBS022.faa,Amino-Acids,WAGF,WAG
BALBS023.faa,Amino-Acids,LG,LG
BALBS024.faa,Amino-Acids,BLOSUM62F,WAG
BALBS025.faa,Amino-Acids,LGF,LG
BALBS026.faa,Amino-Acids,BLOSUM62,LG
BALBS027.faa,Amino-Acids,LG,LG
BALBS028.faa,Amino-Acids,LG,LG
BALBS029.faa,Amino-Acids,WAGF,WAG
BALBS030.faa,Amino-Acids,WAG,WAG
BALBS031.faa,Amino-Acids,PMB,LG
BALBS032.faa,Amino-Acids,LGF,LG
BALBS033.faa,Amino-Acids,LG,LG
BALBS034.faa,Amino-Acids,WAGF,LG
BALBS035.faa,Amino-Acids,WAG,WAG
BALBS036.faa,Amino-Acids,WAGF,WAG
BALBS037.faa,Amino-Acids,LGF,LG
BALBS038.faa,Amino-Acids,LGF,LG
BALBS039.faa,Amino-Acids,LGF,LG
BALBS040.faa,Amino-Acids,WAGF,WAG
BALBS041.faa,Amino-Acids,LGF,LG
BALBS042.faa,Amino-Acids,FLUF,WAG
BALBS043.faa,Amino-Acids,LGF,LG
BALBS044.faa,Amino-Acids,LG,LG
BALBS045.faa,Amino-Acids,LGF,LG
BALBS046.faa,Amino-Acids,LGF,LG
BALBS047.faa,Amino-Acids,RTREVF,LG
BALBS048.faa,Amino-Acids,WAGF,WAG
BALBS049.faa,Amino-Acids,LG,LG
BALBS050.faa,Amino-Acids,WAGF,LG
BALBS051.faa,Amino-Acids,PMBF,WAG
BALBS052.faa,Amino-Acids,LG,LG
BALBS053.faa,Amino-Acids,LGF,LG
BALBS054.faa,Amino-Acids,LGF,WAG
BALBS055.faa,Amino-Acids,LG,LG
BALBS056.faa,Amino-Acids,LGF,LG
BALBS057.faa,Amino-Acids,LG,LG
BALBS058.faa,Amino-Acids,WAGF,LG
BALBS059.faa,Amino-Acids,FLU,WAG
BALBS060.faa,Amino-Acids,FLUF,WAG
BALBS061.faa,Amino-Acids,WAGF,WAG
BALBS062.faa,Amino-Acids,WAG,WAG
BALBS063.faa,Amino-Acids,WAGF,WAG
BALBS064.faa,Amino-Acids,WAGF,WAG
BALBS065.faa,Amino-Acids,LGF,LG
BALBS066.faa,Amino-Acids,LG,LG
BALBS067.faa,Amino-Acids,WAGF,WAG
BALBS068.faa,Amino-Acids,LGF,LG
BALBS069.faa,Amino-Acids,RTREV,LG
BALBS070.faa,Amino-Acids,LGF,LG
BALBS071.faa,Amino-Acids,PMB,WAG
BALBS072.faa,Amino-Acids,BLOSUM62F,WAG
BALBS073.faa,Amino-Acids,LG,LG
BALBS074.faa,Amino-Acids,WAG,WAG
BALBS075.faa,Amino-Acids,LG,LG
BALBS076.faa,Amino-Acids,LGF,WAG
BALBS077.faa,Amino-Acids,LGF,WAG
BALBS078.faa,Amino-Acids,WAG,WAG
BALBS079.faa,Amino-Acids,CPREVF,LG
BALBS080.faa,Amino-Acids,FLUF,WAG
BALBS081.faa,Amino-Acids,BLOSUM62,LG
BALBS082.faa,Amino-Acids,WAGF,WAG
BALBS083.faa,Amino-Acids,LG,LG
BALBS084.faa,Amino-Acids,LGF,WAG
BALBS085.faa,Amino-Acids,VTF,LG
BALBS086.faa,Amino-Acids,LGF,LG
BALBS087.faa,Amino-Acids,LGF,LG
BALBS088.faa,Amino-Acids,LG,LG
BALBS089.faa,Amino-Acids,LGF,LG
BALBS090.faa,Amino-Acids,LGF,LG
BALBS091.faa,Amino-Acids,RTREVF,WAG
BALBS092.faa,Amino-Acids,LG,LG
BALBS093.faa,Amino-Acids,VTF,JTT
BALBS094.faa,Amino-Acids,LG,LG
BALBS095.faa,Amino-Acids,LG,LG
BALBS096.faa,Amino-Acids,LGF,LG
BALBS097.faa,Amino-Acids,WAGF,WAG
BALBS098.faa,Amino-Acids,WAGF,WAG
BALBS099.faa,Amino-Acids,LGF,LG
BALBS100.faa,Amino-Acids,LG,LG
BALBS101.faa,Amino-Acids,LG,LG
BALBS102.faa,Amino-Acids,LG,LG
BALBS103.faa,Amino-Acids,WAGF,WAG
BALBS104.faa,Amino-Acids,LGF,LG
BALBS105.faa,Amino-Acids,WAG,WAG
BALBS106.faa,Amino-Acids,LG,LG
BALBS107.faa,Amino-Acids,LGF,JTT
BALBS108.faa,Amino-Acids,LG,LG
BALBS109.faa,Amino-Acids,LGF,LG
BALBS110.faa,Amino-Acids,WAG,WAG
BALBS111.faa,Amino-Acids,LG,LG
BALBS112.faa,Amino-Acids,JTTDCMUT,JTT
BALBS113.faa,Amino-Acids,WAG,WAG
BALBS114.faa,Amino-Acids,LG,LG
BALBS115.faa,Amino-Acids,WAG,WAG
BALBS116.faa,Amino-Acids,WAGF,WAG
BALBS117.faa,Amino-Acids,LG,LG
BALBS118.faa,Amino-Acids,LGF,LG
BALBS119.faa,Amino-Acids,LG,LG
BALBS120.faa,Amino-Acids,LG,LG
BALBS121.faa,Amino-Acids,WAGF,WAG
BALBS122.faa,Amino-Acids,LG,LG
BALBS123.faa,Amino-Acids,LGF,LG
BALBS124.faa,Amino-Acids,LGF,WAG
BALBS125.faa,Amino-Acids,LG,LG
BALBS126.faa,Amino-Acids,LGF,LG
BALBS127.faa,Amino-Acids,LG,LG
BALBS128.faa,Amino-Acids,LG,LG
BALBS129.faa,Amino-Acids,LGF,LG
BALBS130.faa,Amino-Acids,LGF,LG
BALBS131.faa,Amino-Acids,WAG,WAG
BALBS132.faa,Amino-Acids,BLOSUM62F,LG
BALBS133.faa,Amino-Acids,RTREVF,WAG
BALBS134.faa,Amino-Acids,LGF,LG
BALBS135.faa,Amino-Acids,LG,LG
BALBS136.faa,Amino-Acids,WAG,WAG
BALBS137.faa,Amino-Acids,LGF,WAG
BALBS138.faa,Amino-Acids,LG,LG
BALBS139.faa,Amino-Acids,WAGF,WAG
BALBS140.faa,Amino-Acids,JTTF,JTT
BALBS141.faa,Amino-Acids,LGF,WAG
BALBS142.faa,Amino-Acids,LG,LG
BALBS143.faa,Amino-Acids,LGF,LG
BALBS144.faa,Amino-Acids,PMB,WAG
BALBS145.faa,Amino-Acids,LG,LG
BALBS146.faa,Amino-Acids,WAGF,WAG
BALBS147.faa,Amino-Acids,LG,LG
BALBS148.faa,Amino-Acids,LGF,LG
BALBS149.faa,Amino-Acids,WAG,WAG
BALBS150.faa,Amino-Acids,LG,LG
BALBS151.faa,Amino-Acids,WAGF,WAG
BALBS152.faa,Amino-Acids,LG,LG
BALBS153.faa,Amino-Acids,LGF,LG
BALBS154.faa,Amino-Acids,LGF,LG
BALBS155.faa,Amino-Acids,LGF,JTT
BALBS156.faa,Amino-Acids,BLOSUM62F,WAG
BALBS157.faa,Amino-Acids,WAGF,WAG
BALBS158.faa,Amino-Acids,LG,LG
BALBS159.faa,Amino-Acids,LGF,LG
BALBS160.faa,Amino-Acids,LG,LG
BALBS161.faa,Amino-Acids,LGF,LG
BALBS162.faa,Amino-Acids,LG,LG
BALBS163.faa,Amino-Acids,LGF,LG
BALBS164.faa,Amino-Acids,WAGF,WAG
BALBS165.faa,Amino-Acids,BLOSUM62F,WAG
BALBS166.faa,Amino-Acids,LG,LG
BALBS167.faa,Amino-Acids,PMB,WAG
BALBS168.faa,Amino-Acids,PMBF,WAG
BALBS169.faa,Amino-Acids,BLOSUM62F,WAG
BALBS170.faa,Amino-Acids,WAGF,LG
BALBS171.faa,Amino-Acids,WAGF,LG
BALBS172.faa,Amino-Acids,RTREV,LG
BALBS173.faa,Amino-Acids,LGF,LG
BALBS174.faa,Amino-Acids,LGF,LG
BALBS175.faa,Amino-Acids,WAG,WAG
BALBS176.faa,Amino-Acids,WAGF,WAG
BALBS177.faa,Amino-Acids,LGF,LG
BALBS178.faa,Amino-Acids,LG,LG
BALBS179.faa,Amino-Acids,WAGF,WAG
BALBS180.faa,Amino-Acids,BLOSUM62F,WAG
BALBS181.faa,Amino-Acids,LG,LG
BALBS182.faa,Amino-Acids,LGF,LG
BALBS183.faa,Amino-Acids,WAGF,WAG
